Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
12/31/2015,36.81,37.79,36.22,37.07,0.44,37.04,279553,436421
12/30/2015,37.36,37.4,36.4,36.83,1.27,36.6,261808,443071
12/29/2015,37.87,37.94,36.69,37.33,1.06,37.87,239759,444681
12/28/2015,38,38.09,36.6,36.69,1.29,36.81,217992,450492
12/24/2015,37.86,38.28,37.38,38.12,0.6,38.1,201502,453317
12/23/2015,36.47,37.95,36.28,37.89,1.36,37.5,368569,460233
12/22/2015,35.8,36.54,35.66,36.47,0.33,36.14,295269,463251
12/21/2015,34.58,34.86,33.98,34.66,0.01,34.74,19661,20026
12/18/2015,34.87,35.57,34.29,34.55,0.22,34.73,108999,59102
12/17/2015,35.8,35.84,34.63,34.82,0.57,34.95,188502,85022
12/16/2015,36.79,37.35,35.29,35.74,1.83,35.52,393935,132136
12/15/2015,36.32,37.88,36.03,36.74,1.04,37.35,461315,182589
12/14/2015,35.4,36.7,34.53,36.27,0.69,36.31,535215,220602
12/11/2015,36.63,36.84,35.16,35.35,1.14,35.62,497403,261885
12/10/2015,37.27,37.54,36.38,36.57,0.4,36.76,478876,329005
12/9/2015,37.16,38.99,36.87,37.21,0.35,37.16,616277,389020
12/8/2015,37.51,38.58,36.64,37.85,0.14,37.51,736414,471215
12/7/2015,40.1,40.15,37.5,37.63,2.32,37.65,611824,539723
12/4/2015,41.31,42,39.6,40.14,1.11,39.97,509504,545083
12/3/2015,40.15,41.78,40.07,41.27,1.14,41.08,490958,559893
12/2/2015,41.69,41.97,39.84,40.1,1.91,39.94,539310,550996
12/1/2015,41.73,42.23,41.17,41.65,0.2,41.85,412002,551240
11/30/2015,41.77,42.61,41.5,41.68,0.06,41.65,366503,559391
11/27/2015,43.25,43.3,41.67,41.77,1.33,41.71,315452,561223
11/25/2015,43.04,43.25,41.72,43.2,0.17,43.04,381506,561036
11/24/2015,42.04,43.46,41.86,42.65,1.12,42.87,425219,561081
11/23/2015,41.49,42.75,40.41,42.01,0.15,41.75,515103,561919
11/20/2015,40.54,40.99,38.99,39.39,0.15,40.39,27009,20501
