Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
12/1/2015,36.81,37.79,36.22,37.07,0.44,37.04,279553,436421
11/1/2015,41.77,42.61,41.5,41.68,0.06,41.65,366503,559391
10/1/2015,45.74,47.03,45.48,46.39,0.53,46.59,358472,511782
9/1/2015,44.92,45.85,44.68,45.34,0.14,45.09,353607,448642
8/1/2015,45,49.33,43.6,48.16,3.98,49.2,753385,440212
7/1/2015,48.47,48.62,46.7,46.77,1.4,47.12,328276,508226
6/1/2015,58.27,59.69,57.94,59.4,1.14,59.47,282364,331764
5/1/2015,57.97,60.7,57.72,60.3,2.62,60.3,451935,399553
4/1/2015,58.55,59.85,58.38,59.6,1.05,59.63,340317,426816
3/1/2015,48.73,48.73,47.28,47.6,1.08,47.6,365743,479356
2/1/2015,48.97,49.94,48.46,49.76,1.59,49.76,399494,414582
1/1/2015,44.63,48.35,44.31,48.24,3.71,48.24,454108,485159
